"ch"	"Twin"	"Year"	"DayBorn"	"DamID"
"0000000000000000000000000000001010101010101010101010101010101010101100000000000000000000000000000000000000000000000000000000"	1	2015	0.572638133458269	"M041101"
"0000000000000000000000000000001010101010101010101010101010101010101100000000000000000000000000000000000000000000000000000000"	1	2015	0.572638133458269	"M041101"
"0000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-0.675790120461694	"M041102"
"0000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-0.675790120461694	"M041102"
"0000000000000000000000000010101010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2015	0.215944346623994	"M041103"
"0000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	0.215944346623994	"M041103"
"0000000000000000101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2015	-0.675790120461694	"M041104"
"0000000000000000101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2015	-0.675790120461694	"M041104"
"0000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-0.675790120461694	"M041104"
"0000000000000010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2015	-0.854137013878832	"M041106"
"0000000000000010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2015	-0.854137013878832	"M041106"
"0000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	0.215944346623994	"M041107"
"0000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-0.497443227044556	"M041109"
"0000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-0.497443227044556	"M041109"
"0000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2015	0.215944346623994	"M041110"
"0000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101011000000"	1	2015	-1.21083080071311	"M041111"
"0000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-1.21083080071311	"M041111"
"0000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2015	0.0375974532068564	"M041112"
"0000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	0.0375974532068564	"M041112"
"0000000000001010101010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2015	-1.03248390729597	"M041114"
"0000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101011000000000000"	1	2015	-1.03248390729597	"M041114"
"0000000000000000000000000000000000101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000"	1	2015	0.929331920292544	"M041115"
"0000000000000000000000000000000000101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000"	1	2015	0.929331920292544	"M041115"
"0000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-1.03248390729597	"M041116"
"0000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-1.03248390729597	"M041116"
"0000000000000000000000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2015	1.64271949396109	"M041311"
"0000000000000000000000101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000"	0	2015	-0.140749440210281	"M041312"
"0000000000000000000000000000000000000000000000000000000010101010101010101010101010101010101010101010101010101010101010101010"	0	2015	2.89114774788106	"M101001"
"0000000000000000000000000010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2015	0.215944346623994	"M101008"
"0000000000000000000000000010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2015	0.215944346623994	"M101008"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2015	-0.854137013878832	"M101009"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2015	-0.854137013878832	"M101009"
"0000000000000000000000000000000000000000101010101010101010101010101010101010101100000000000000000000000000000000000000000000"	1	2015	1.46437260054396	"M101010"
"0000000000000000000000000000000000000000101010101010101010101010101010101010101100000000000000000000000000000000000000000000"	1	2015	1.46437260054396	"M101010"
"0000000000000000000000000000000000000000000000000000000000101010101010101010101010101100000000000000000000000000000000000000"	1	2015	3.0694946412982	"M101101"
"0000000000000000000000000000000000000000000000000000000000101010101010101010101010101010101010101010101010101010101010101010"	1	2015	3.0694946412982	"M101101"
"0000000000000000000000000010101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000000000"	1	2015	0.215944346623994	"M101102"
"0000000000000000000000000010101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000000000"	1	2015	0.215944346623994	"M101102"
"0010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2016	-1.74587148096452	"M040907"
"0010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2016	-1.74587148096452	"M040907"
"0000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101000000000000000"	1	2016	0.215944346623994	"M041102"
"0000000000000000000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101000000000000000"	1	2016	0.215944346623994	"M041102"
"0000000000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2016	0.0375974532068564	"M041103"
"0000000000000000000000101010101010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	0.0375974532068564	"M041103"
"0000000010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2016	-1.21083080071311	"M041106"
"0000000000000000000000101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2016	0.0375974532068564	"M041107"
"0000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2016	-0.675790120461694	"M041109"
"0000000000000000000000000000000010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	0.929331920292544	"M041110"
"0000000000000000000000000000000010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	0.929331920292544	"M041110"
"0000000000000010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-0.675790120461694	"M041111"
"0000000000000010101010101010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-0.675790120461694	"M041111"
"0000000000000000000000000000101010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2016	0.572638133458269	"M041112"
"0000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2016	-0.140749440210281	"M041114"
"0000000000000000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2016	0.572638133458269	"M041115"
"0000000000000000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2016	0.572638133458269	"M041115"
"0000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2016	-1.38917769413024	"M041116"
"0000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101000000000000000"	1	2016	-1.38917769413024	"M041116"
"0000001010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-1.38917769413024	"M041312"
"0000001010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-1.38917769413024	"M041312"
